성별 (남:1, 여:7)	나는 연인에게 내 속 깊은 감정을 드러내지 않는 것을 선호한다.	나는 버림받을까봐 걱정된다.	나는 연인과 가깝게 지내는 것이 매우 편하다.	나는 관계에 대해 많이 걱정한다.	연인이 나와 가까워지기 시작할 때, 나는 멀어지려는 자신을 발견한다.	내가 연인을 아끼는 것만큼 연인이 나에게 관심을 갖지 않을까봐 걱정된다.	연인이 아주 가까이 있고 싶어하면 불편해진다.	나는 연인을 잃는 것에 대해 상당히 걱정한다.	연인에게 마음을 여는 것이 불편하다.	나에 대한 연인의 감정이 연인에 대한 나의 감정만큼 강하지 않았으면 하는 경우가 많다.	연인과 더 친해지고 싶은데 자꾸만 뒤로 물러난다.	나는 종종 연인과 완전히 합쳐지기를 원하며, 이것은 때때로 연인을 겁나게 한다.	연인이 나에게 너무 가까워지면 긴장된다.	나는 혼자 있는 것에 대해 걱정한다.	나는 내 사적인 생각과 감정을 연인과 공유하는 것이 편하다.	사람들과 아주 가까이 있고 싶은 나의 욕망은 때때로 사람들을 겁나게 한다.	나는 연인과 너무 가까워지는 것을 피하려고 노력한다.	나는 내 연인에게 사랑받고 있다는 확신이 많이 필요하다.	나는 연인과 비교적 쉽게 가까워진다.	때때로 내 연인이 나에게 더 많은 감정과 헌신을 보여주도록 강요한다.	나는 내 연인에게 의존하기가 어렵다.	나는 버림받는 것에 대해 자주 걱정하지 않는다.	나는 내 연인과 너무 가까워지지 않는 것을 선호한다.	연인이 나에게 관심을 보이지 않으면 속상하거나 화를 낸다.	나는 내 연인에게 모든 것에 대해 이야기한다.	내 연인이 내가 원하는 만큼 가까워지기를 원하지 않음을 자주 느낀다.	나는 보통 내 문제와 걱정거리를 연인과 상의한다.	나는 연애하고 있지 않을 때 다소 불안하고 불안정감을 느낀다.	나는 연인에게 의존하는 것이 편안하다.	연인이 내가 원하는 만큼 주변에 없을 때 짜증이 난다.	연인에게 위로, 조언 또는 도움을 요청하는 것을 꺼리지 않는다.	연인이 필요할 때 옆에 없으면 짜증이 난다.	필요한 것이 있을 때 연인에게 가는 것은 도움이 된다.	내 연인이 나를 인정하지 않을 때, 나 자신에 대해 부정적으로 느끼게 된다.	나는 편안함과 안전하다는 느낌을 포함한 많은 것들을 연인에게서 얻으려 한다.	연인이 나와 떨어져 시간을 보낼 때 화가 난다.	나는 연인과 함께 문제를 살펴보며 둘 다 받아들일 수 있는 해결책을 찾으려고 한다.	나는 일반적으로 연인을 만족시키려고 노력한다.	나는 연인과의 갈등을 굳이 꺼내지 않는다.	나는 연인과 함께 결정을 내리기 위해 서로의 아이디어를 통합하려고 노력한다.	나는 받기 위해 준다.	나는 연인과 협력하여 기대에 맞는 해결책을 찾기 위해 노력한다.	나는 연인과 차이점에 대해 대화하기를 주로 피한다.	나는 문제에 대한 나의 해결책을 주로 고집한다.	나는 연인과 타협점을 찾기 위해 노력한다.	나는 나의 영향력을 이용하여 내 생각을 수용하게 한다.	나는 나의 권위를 이용하여 나에게 유리한 결정을 내리도록 한다.	나는 연인의 요구와 희망 사항을 주로 확인한다.	나는 연인의 요구에 주로 굴복한다.	나는 일부를 얻고, 일부를 잃는다.	나는 연인과 문제를 해결하기 위해 서로 정확한 정보를 교환한다.	때때로 연인에게 유리한 결정을 내리도록 도와준다.	평소 연인에게 양보한다.	나는 내 입장의 장점을 보여주기 위해 연인과 논쟁한다.	나는 연인과 타협에 도달하기 위해 차이점을 내려놓으려고 노력한다.	나는 일반적으로 교착 상태에 대한 절충안을 제안한다.	나는 절충점에 도달할 수 있도록 연인과 협상한다.	나는 연인과 의견 불일치를 피하려고 노력한다.	나는 연인과 만나기를 피한다.	나는 나의 전문 지식을 활용하여 나에게 유리한 결정을 내린다.	나는 종종 연인의 제안을 따른다.	나는 타협이 이루어질 수 있도록 "주고 받기"를 사용한다.	나는 갈등에서 나의 입장을 추구하는 데 확고하다.	나는 문제가 최선의 방식으로 해결될 수 있도록 모든 우려를 공개한다.	나는 서로 수용할 수 있는 결정을 내리기 위해 연인과 협력한다.	나는 연인의 기대를 충족시키려고 노력한다.	나는 나의 힘을 이용해서 갈등 상황을 이기려고 할 때가 있다.	나는 악감정을 피하기 위해 연인과의 의견 불일치를 속으로만 생각하려고 노력한다.	나는 연인과 불쾌한 상호작용을 피하려고 노력한다.	나는 일반적으로 연인과의 말다툼을 피한다.	나는 연인과의 갈등을 제대로 이해하기 위해 연인과 협력하려고 노력한다.
1	1	3	7	3	2	4	1	3	2	2	2	3	6	4	6	4	2	3	5	4	3	5	2	5	6	2	6	2	5	4	5	4	6	2	5	3	6	5	2	6	2	6	2	4	6	2	2	6	4	6	5	5	5	3	4	6	6	6	2	2	6	6	3	5	5	6	4	2	2	3	5
7	2	2	7	2	3	2	5	2	2	5	2	2	3	2	5	2	4	5	2	2	1	5	2	3	5	1	5	1	7	2	6	4	6	5	7	6	5	6	5	5	5	6	4	5	5	3	4	5	3	3	6	6	4	5	6	2	5	6	4	3	6	5	5	5	6	5	6	6	5	5	6
7	2	2	7	3	1	2	2	2	2	1	1	4	1	6	6	2	2	6	6	7	2	5	2	6	7	1	6	5	6	7	6	7	6	5	6	6	5	4	3	5	5	5	3	5	5	3	3	4	5	3	5	4	3	7	5	2	3	5	2	2	5	3	6	5	5	5	3	5	5	5	5
1	3	3	6	5	2	5	4	5	3	2	3	3	3	2	5	5	2	5	5	3	3	5	3	5	3	5	2	3	5	2	2	2	5	7	5	1	6	6	2	6	2	6	2	6	6	5	2	6	4	6	6	6	5	5	3	5	5	2	2	2	6	5	5	5	6	6	2	2	2	2	6
1	2	4	6	3	1	2	1	2	3	1	1	1	3	2	6	1	1	6	6	3	3	7	2	6	5	1	7	1	4	3	5	2	6	6	2	1	7	2	2	7	2	6	4	6	6	2	1	7	5	7	6	7	6	6	3	5	6	2	1	1	7	2	5	6	7	7	1	4	5	1	7
1	1	2	6	2	1	2	1	2	1	2	3	3	4	2	6	3	1	6	5	1	2	7	1	3	7	1	6	2	6	2	6	2	6	5	6	2	6	7	3	6	2	6	1	2	6	2	2	7	7	3	6	6	6	3	5	6	5	6	1	2	6	5	2	5	6	7	2	2	6	6	6
7	2	1	6	2	4	3	2	1	5	2	1	1	1	2	6	1	5	2	2	5	6	7	2	6	5	3	6	1	3	6	4	6	6	7	6	2	6	5	3	7	1	7	6	5	5	6	6	4	1	1	4	6	4	7	6	7	6	6	3	6	5	2	5	6	5	4	1	6	5	4	2
7	3	6	4	6	5	7	4	6	5	2	6	4	4	5	3	5	5	6	4	5	3	2	3	5	2	5	5	5	3	5	5	5	5	7	6	4	5	6	4	5	5	5	3	4	6	3	3	4	3	5	5	5	6	5	4	5	5	4	2	4	5	5	3	3	5	6	3	5	5	5	5
7	2	1	7	2	2	2	4	2	2	1	1	2	2	2	6	2	2	4	6	5	2	6	2	5	6	2	6	2	6	5	6	6	6	2	4	2	6	5	4	5	4	5	3	4	6	4	3	5	1	5	5	4	2	5	5	6	6	5	2	2	4	5	4	5	5	5	2	2	2	2	5
7	3	5	6	5	6	6	3	5	2	3	5	3	4	1	3	1	2	7	2	3	5	2	3	7	3	1	3	2	2	7	3	7	5	7	6	5	5	7	2	5	1	3	2	3	5	2	1	6	6	5	3	5	6	5	6	4	4	5	1	1	6	3	3	2	4	7	6	5	5	2	4
7	5	2	5	2	2	2	2	6	5	1	1	1	1	2	4	1	1	2	6	1	6	6	5	2	2	1	1	1	2	1	1	1	3	5	2	1	6	5	5	5	1	6	2	1	6	4	1	5	5	6	5	2	5	5	3	6	6	6	1	3	4	5	3	4	5	5	1	5	5	5	5
7	7	5	3	7	7	4	7	5	5	3	5	4	6	3	4	2	5	6	1	3	5	5	6	5	2	1	3	3	2	1	3	2	4	7	4	1	5	6	6	5	4	4	6	4	4	5	3	6	4	7	4	6	4	4	5	4	5	6	3	1	6	3	5	4	5	7	2	6	7	7	5
1	5	3	6	4	4	3	5	5	5	5	5	2	5	5	6	6	5	2	5	6	6	6	6	3	2	2	5	3	4	3	3	2	5	5	3	2	6	7	6	6	2	6	2	5	6	2	2	6	5	6	6	6	6	5	5	6	5	5	1	4	6	6	2	5	5	6	2	5	7	3	6
1	2	5	7	6	1	5	6	5	3	2	1	6	2	6	6	5	2	7	5	2	1	3	2	6	5	6	6	6	6	7	2	6	4	6	6	7	5	6	3	5	6	6	2	5	6	3	2	5	6	4	4	6	6	6	6	6	5	2	2	3	6	3	5	6	6	6	2	4	2	3	5
7	2	2	7	5	1	5	1	4	1	1	1	1	1	6	7	1	3	6	7	1	1	5	1	5	3	1	7	5	7	3	7	3	7	5	5	1	7	5	3	7	1	7	2	3	7	3	2	7	4	2	7	7	5	5	5	5	4	3	1	2	5	7	3	2	7	5	2	2	5	5	7
7	2	4	6	6	6	5	2	6	2	1	3	4	3	4	6	4	3	6	5	6	2	2	3	6	6	4	7	1	5	5	6	6	6	5	5	2	6	6	3	6	4	6	2	6	6	6	3	5	5	6	3	5	4	3	3	5	5	3	1	2	6	4	4	5	4	5	4	4	4	2	6
1	1	1	7	1	1	1	1	1	1	1	1	2	1	1	6	1	1	2	6	1	1	7	1	2	6	1	6	1	5	1	6	1	6	2	5	1	6	6	2	7	7	6	1	2	6	1	1	5	1	1	7	6	6	2	4	6	6	4	1	1	6	5	1	7	6	7	1	1	1	2	7
7	5	7	5	7	5	7	2	6	5	1	2	5	3	6	5	3	2	7	3	3	2	1	1	4	5	4	5	3	2	4	3	4	5	5	6	4	5	7	7	5	4	5	5	2	5	1	1	6	7	3	2	7	7	2	1	3	3	7	1	1	7	4	2	1	4	7	1	5	7	7	3
7	2	5	7	4	3	5	2	5	2	3	2	5	2	2	7	2	2	5	5	2	2	3	2	4	5	2	5	2	5	2	5	5	6	5	5	2	6	6	6	6	2	6	2	2	6	3	1	6	5	5	6	6	6	2	5	6	6	6	1	1	6	2	2	5	6	6	2	5	5	5	5
7	1	1	7	3	1	2	1	1	1	1	1	1	1	5	7	1	1	2	6	2	1	7	2	3	3	1	4	4	6	1	6	5	7	3	3	1	7	7	1	7	3	7	1	1	7	1	1	5	1	1	6	3	5	4	2	7	7	2	1	1	1	7	2	7	7	5	1	1	1	1	7
7	3	5	5	6	2	6	3	5	2	1	2	3	2	3	5	2	3	5	5	3	2	4	2	3	2	3	5	4	4	5	6	3	4	5	5	1	5	5	4	5	2	5	3	2	5	4	2	4	3	4	5	5	5	4	4	5	6	5	2	2	6	5	3	5	4	5	6	5	6	5	5
7	2	5	4	4	3	5	4	4	3	3	3	1	3	2	3	1	2	4	4	2	2	2	2	5	2	2	5	2	5	3	4	4	5	3	4	1	4	4	2	4	2	4	2	2	4	3	1	4	2	2	5	4	3	2	4	3	3	2	2	2	4	4	2	3	4	4	2	1	1	1	4
7	5	5	5	6	4	6	5	5	4	5	4	3	4	5	4	3	4	6	5	5	5	4	5	5	3	4	4	5	4	6	3	5	4	5	4	4	3	6	4	3	4	3	5	4	3	4	4	5	4	4	4	4	4	4	3	3	3	5	4	2	4	3	3	5	4	5	4	4	5	4	3
1	4	3	6	3	2	5	2	6	2	4	3	3	2	3	6	4	3	4	6	2	4	5	2	2	3	2	5	2	5	2	6	2	5	2	2	1	5	6	4	5	2	5	2	5	5	5	3	6	3	4	6	5	3	5	4	5	5	3	2	3	5	4	4	3	5	3	5	2	5	5	5
7	2	2	6	3	5	2	2	2	2	3	3	2	2	5	2	2	2	2	3	5	2	6	2	6	5	2	6	2	5	5	5	6	6	5	6	3	6	5	2	5	5	6	3	5	6	5	5	5	2	4	5	3	4	5	5	4	6	3	2	2	5	5	5	5	5	5	5	3	3	3	5
1	2	6	7	7	1	7	1	4	2	1	2	6	2	6	6	2	2	7	7	6	2	5	2	7	6	6	3	6	6	6	5	7	2	7	6	1	5	7	2	7	2	7	2	5	5	5	2	6	2	5	7	6	7	6	6	7	7	3	1	1	7	6	6	7	7	7	3	3	2	2	7
7	7	1	7	1	3	1	4	1	2	2	1	1	2	1	5	1	1	2	5	1	2	1	2	2	3	1	2	1	1	1	2	4	1	1	1	1	7	5	2	6	1	6	1	1	7	5	2	5	3	5	7	6	5	3	5	5	6	2	1	2	5	7	5	4	7	5	3	1	2	3	7
7	3	2	6	2	1	2	2	2	2	3	1	1	2	3	6	1	2	6	6	6	3	5	4	3	5	2	5	2	4	3	6	3	6	2	7	2	6	6	6	5	2	6	2	3	5	2	2	6	2	4	5	6	6	3	2	6	6	6	1	2	6	3	3	3	6	6	2	5	5	4	5
1	6	5	4	5	3	7	3	4	5	1	4	4	2	4	2	2	3	5	6	3	7	3	2	5	1	3	2	5	1	3	1	1	3	5	4	5	1	5	6	5	5	1	3	6	4	2	1	1	5	5	2	5	5	4	4	4	4	5	1	1	5	4	2	1	4	5	4	5	6	6	2
1	3	5	5	5	2	5	3	6	3	4	2	2	4	5	6	2	3	4	4	3	2	5	4	6	3	5	4	4	5	5	4	5	5	6	6	4	5	6	5	5	2	5	4	3	6	2	2	6	5	4	5	6	6	4	5	5	5	5	3	2	6	5	4	6	6	7	2	5	6	6	6
1	5	2	7	2	1	1	1	6	1	1	1	1	1	1	7	1	1	6	4	3	5	5	1	6	4	1	6	1	3	2	6	2	6	6	6	2	6	7	4	6	1	7	2	4	6	2	2	7	5	5	5	7	6	5	6	6	5	5	1	1	6	5	5	3	6	6	1	5	5	5	7
7	3	1	6	2	1	2	2	1	1	3	1	1	4	1	6	1	2	6	5	1	2	7	2	1	5	1	5	1	4	1	6	1	6	2	6	1	7	6	6	6	1	6	2	1	7	2	1	7	2	6	6	7	5	2	6	5	6	5	1	4	6	6	4	5	6	6	6	3	6	6	6
1	2	3	5	5	3	5	5	4	2	3	3	3	2	3	5	3	3	5	5	2	3	5	3	5	4	3	5	3	5	5	5	5	3	5	5	4	5	3	3	3	2	3	2	5	5	3	2	5	2	5	5	5	4	5	3	4	5	3	2	3	5	5	5	3	5	5	3	2	2	3	3
1	6	3	7	3	5	7	3	3	3	3	4	5	5	1	6	3	2	5	4	2	3	6	5	3	5	4	5	1	5	2	6	2	5	2	5	2	6	6	6	6	2	6	5	2	6	3	1	5	3	4	5	6	5	3	5	6	5	5	1	3	6	6	5	3	5	6	2	5	5	6	6
7	5	2	7	3	1	1	2	2	1	1	1	1	1	2	5	1	1	3	4	1	1	2	1	2	6	1	4	1	5	1	5	1	5	4	2	1	4	5	6	5	1	6	1	1	6	1	1	6	4	1	4	5	7	1	4	5	5	6	1	1	7	5	1	1	6	3	1	4	5	5	6
1	4	1	6	2	2	2	5	2	2	2	2	2	5	1	6	2	2	2	6	6	1	6	6	2	2	2	6	6	6	5	6	6	6	2	6	2	6	6	2	6	6	6	2	6	6	6	2	6	2	6	5	2	2	6	6	6	6	7	2	7	6	6	6	2	6	6	2	7	7	6	6
7	2	5	6	4	2	4	3	5	1	1	2	2	2	2	5	2	2	5	4	3	2	3	1	5	4	2	5	1	5	2	5	5	5	5	5	2	6	4	5	5	3	5	3	2	5	2	1	5	3	4	5	5	4	3	4	4	5	5	1	1	6	5	2	4	5	5	2	4	5	5	5
7	2	5	6	6	2	6	2	4	3	2	2	2	2	5	5	2	2	6	6	3	3	5	2	6	5	2	5	2	6	5	5	6	6	5	6	4	5	5	3	3	3	5	2	5	4	1	2	6	5	6	2	5	6	2	3	3	3	5	2	2	6	5	6	3	4	6	2	6	5	5	4
7	4	5	5	3	2	4	2	4	2	3	2	2	4	3	5	2	2	6	4	5	3	3	2	4	5	3	3	2	4	3	5	5	5	5	5	3	5	6	5	6	3	5	2	3	6	4	2	4	4	4	4	6	4	3	4	5	5	6	1	2	6	5	2	2	6	6	3	6	5	5	4
7	2	5	6	5	1	4	2	6	1	1	1	3	1	7	7	5	2	7	6	6	2	3	2	6	7	1	7	4	6	6	5	7	6	7	7	4	5	1	2	6	3	5	1	3	6	3	2	4	4	5	5	4	5	6	3	6	6	3	1	5	6	4	5	6	6	5	4	2	2	2	5
7	2	7	3	6	5	6	5	6	6	2	5	3	2	2	5	2	2	7	6	6	5	2	5	7	5	2	6	2	1	5	2	6	6	6	6	3	6	6	2	6	3	6	1	2	6	5	2	7	2	5	6	6	3	6	5	6	7	2	1	1	6	2	3	6	7	6	1	1	1	1	6
7	3	2	3	4	3	2	5	4	3	5	2	3	2	2	3	2	6	3	4	3	4	3	5	5	2	2	5	1	1	5	5	2	5	4	3	1	6	5	5	6	2	5	2	2	6	2	1	6	5	6	6	2	4	3	5	5	5	3	3	3	6	5	3	3	5	5	2	5	5	5	5
1	7	4	4	7	5	6	7	7	7	4	4	2	6	1	1	1	5	1	4	4	7	3	6	5	2	4	2	2	2	3	3	4	5	7	5	1	7	4	7	5	1	6	7	7	4	7	7	5	2	3	6	6	5	7	4	4	6	7	1	7	5	5	7	7	4	3	4	3	4	5	3
7	6	5	6	5	5	6	2	3	5	2	3	2	2	4	6	2	2	5	6	3	2	3	3	5	5	2	4	2	4	5	6	5	3	5	3	3	6	2	2	6	4	5	3	3	5	2	2	5	3	3	5	5	4	4	5	5	5	5	3	3	5	5	4	6	6	5	3	2	3	2	5
7	3	1	5	4	2	5	2	3	3	2	1	2	2	1	4	2	2	6	5	5	4	5	2	5	1	1	3	1	3	4	3	5	3	3	4	3	4	6	2	4	3	5	2	4	6	6	3	5	3	2	3	3	4	3	5	3	3	5	1	2	3	2	4	2	5	4	5	4	3	3	4
7	3	2	5	4	4	4	3	4	3	3	2	3	3	2	5	4	3	3	5	3	3	5	3	3	4	3	5	2	5	2	5	3	4	2	4	2	5	5	5	5	2	5	2	3	4	3	3	5	4	4	4	5	5	3	4	5	5	3	2	3	5	5	3	4	5	5	3	5	5	3	5
1	6	3	4	2	6	3	3	1	5	1	2	5	3	2	2	1	1	4	5	6	1	6	2	3	1	3	5	1	2	3	4	5	5	6	5	1	7	6	5	7	1	6	1	2	7	2	1	5	6	5	3	6	5	4	3	6	6	3	2	1	7	6	1	5	6	6	3	2	3	5	7
1	5	5	3	6	5	2	6	5	5	2	5	1	5	5	3	1	5	5	2	1	6	3	5	4	2	2	6	6	2	2	7	1	2	5	6	2	3	6	6	3	1	3	2	2	6	2	2	5	2	7	3	2	7	2	6	7	7	7	3	2	5	5	4	1	5	6	5	6	6	7	6
1	6	2	5	3	2	2	2	3	2	1	1	1	4	5	5	4	2	4	5	2	4	5	3	5	5	2	6	2	5	5	6	4	6	2	4	3	6	6	3	6	2	5	2	4	5	5	5	5	4	3	6	6	5	5	5	5	5	4	3	3	5	5	5	5	5	5	2	3	4	3	5
7	2	6	6	6	2	6	2	6	6	2	2	6	6	2	7	6	2	7	5	6	6	6	6	6	6	7	2	1	2	6	2	5	6	6	6	1	7	6	1	6	6	6	1	2	7	2	2	6	2	6	6	6	2	6	6	7	7	2	2	5	6	6	6	7	7	6	2	1	2	2	7
1	5	5	5	4	4	5	4	5	4	3	3	4	4	5	5	4	4	4	4	4	3	3	4	4	5	4	5	3	5	3	5	4	5	4	4	3	5	5	4	5	4	5	3	4	4	3	3	5	3	4	4	4	4	4	5	4	4	5	4	3	5	4	4	4	5	5	3	3	4	4	5
